sequence_id,view_id,amass_npz,subject_range,subject_lateral,radar_height,native_frames,mocap_rate_hz,duration_s,estimated_windows
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_10,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_10_stageii.npz,4.0,0.0,1.0,473,120.0,3.933333333333333,6
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_11,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_11_stageii.npz,4.0,0.0,1.0,553,120.0,4.6,8
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_12,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_12_stageii.npz,4.0,0.0,1.0,381,120.0,3.1666666666666665,5
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_13,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_13_stageii.npz,4.0,0.0,1.0,1729,120.0,14.4,27
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_14,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_14_stageii.npz,4.0,0.0,1.0,489,120.0,4.066666666666666,7
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_15,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_15_stageii.npz,4.0,0.0,1.0,261,120.0,2.1666666666666665,3
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_16,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_16_stageii.npz,4.0,0.0,1.0,1761,120.0,14.666666666666666,28
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_18,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_18_stageii.npz,4.0,0.0,1.0,433,120.0,3.6,6
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_19,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_19_stageii.npz,4.0,0.0,1.0,1681,120.0,14.0,27
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_1,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_1_stageii.npz,4.0,0.0,1.0,613,120.0,5.1,9
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_20,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_20_stageii.npz,4.0,0.0,1.0,1001,120.0,8.333333333333334,15
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_21,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_21_stageii.npz,4.0,0.0,1.0,2117,120.0,17.633333333333333,34
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_2,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_2_stageii.npz,4.0,0.0,1.0,337,120.0,2.8,4
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_4,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_4_stageii.npz,4.0,0.0,1.0,513,120.0,4.266666666666667,7
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_5,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_5_stageii.npz,4.0,0.0,1.0,553,120.0,4.6,8
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_6,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_6_stageii.npz,4.0,0.0,1.0,473,120.0,3.933333333333333,6
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_7,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_7_stageii.npz,4.0,0.0,1.0,289,120.0,2.4,3
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_8,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_8_stageii.npz,4.0,0.0,1.0,497,120.0,4.133333333333334,7
view0__BMLmovi__Subject_11_F_MoSh__Subject_11_F_9,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_11_F_MoSh/Subject_11_F_9_stageii.npz,4.0,0.0,1.0,737,120.0,6.133333333333334,11
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_11,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_11_stageii.npz,4.0,0.0,1.0,1369,120.0,11.4,21
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_12,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_12_stageii.npz,4.0,0.0,1.0,369,120.0,3.066666666666667,5
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_13,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_13_stageii.npz,4.0,0.0,1.0,321,120.0,2.6666666666666665,4
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_14,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_14_stageii.npz,4.0,0.0,1.0,425,120.0,3.533333333333333,6
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_15,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_15_stageii.npz,4.0,0.0,1.0,817,120.0,6.8,12
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_16,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_16_stageii.npz,4.0,0.0,1.0,417,120.0,3.466666666666667,5
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_17,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_17_stageii.npz,4.0,0.0,1.0,361,120.0,3.0,5
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_18,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_18_stageii.npz,4.0,0.0,1.0,529,120.0,4.4,7
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_19,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_19_stageii.npz,4.0,0.0,1.0,709,120.0,5.9,10
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_1,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_1_stageii.npz,4.0,0.0,1.0,1317,120.0,10.966666666666667,20
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_20,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_20_stageii.npz,4.0,0.0,1.0,217,120.0,1.8,2
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_21,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_21_stageii.npz,4.0,0.0,1.0,621,120.0,5.166666666666667,9
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_2,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_2_stageii.npz,4.0,0.0,1.0,2001,120.0,16.666666666666668,32
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_3,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_3_stageii.npz,4.0,0.0,1.0,1305,120.0,10.866666666666667,20
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_4,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_4_stageii.npz,4.0,0.0,1.0,437,120.0,3.6333333333333333,6
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_5,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_5_stageii.npz,4.0,0.0,1.0,457,120.0,3.8,6
